source_file,method,avg_value,std_value,n_valid,units,avg_baseline,std_baseline,n_valid_baseline,delta_avg,delta_std,delta_n_valid
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_chauvenet,439092598.2961488,82948327.75545523,248309,kPa,461329662.4886299,316596842.0228053,248309,-22237064.1924811,-233648514.26735005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_combo,439092598.2961488,82948327.75545523,248309,kPa,461329662.4886299,316596842.0228053,248309,-22237064.1924811,-233648514.26735005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_minmax,439092598.2961488,82948327.75545523,248309,kPa,461329662.4886299,316596842.0228053,248309,-22237064.1924811,-233648514.26735005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_raw_only,439092598.2961488,82948327.75545523,248309,kPa,461329662.4886299,316596842.0228053,248309,-22237064.1924811,-233648514.26735005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID000_LOC_RC001001-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_three_sigma,439092598.2961488,82948327.75545523,248309,kPa,461329662.4886299,316596842.0228053,248309,-22237064.1924811,-233648514.26735005,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_chauvenet,239665956.7357143,59830585.62755706,251530,kPa,243772452.92408404,103050421.85317595,251530,-4106496.188369751,-43219836.22561889,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_combo,236938818.44228324,45104521.82711908,250290,kPa,243772452.92408404,103050421.85317595,251530,-6833634.481800795,-57945900.02605687,-1240
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_minmax,239665956.7357143,59830585.62755706,251530,kPa,243772452.92408404,103050421.85317595,251530,-4106496.188369751,-43219836.22561889,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_raw_only,239665956.7357143,59830585.62755706,251530,kPa,243772452.92408404,103050421.85317595,251530,-4106496.188369751,-43219836.22561889,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID001_LOC_RC001002-5.00x5.00-Modulus_Backward-251021-CRO.tiff,modulus_export_three_sigma,239199214.67491132,56933266.557421446,251369,kPa,243772452.92408404,103050421.85317595,251530,-4573238.249172717,-46117155.29575451,-161
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001003-5.00x5.00-Modulus_Backward-251020-CRO.tiff,modulus_export_chauvenet,218471673.51044297,39448673.3884625,254447,kPa,219606233.12040418,81439532.04843561,254447,-1134559.6099612117,-41990858.659973115,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001003-5.00x5.00-Modulus_Backward-251020-CRO.tiff,modulus_export_combo,216438290.1247406,25981471.88562155,253172,kPa,219606233.12040418,81439532.04843561,254447,-3167942.9956635833,-55458060.162814066,-1275
PEGDA01TPO000SiNP_Sam01_S1_P__GrID002_LOC_RC001003-5.00x5.00-Modulus_Backward-251020-CRO.tiff,modulus_export_minmax,218471673.51044297,39448673.3884625,254447,kPa,219606233.12040418,81439532.04843561,254447,-1134559.6099612117,-41990858.659973115,0
